id,name,state_id/id
kabupaten_id_1,Aceh Barat,base.state_id_ac
kabupaten_id_2,Aceh Barat Daya,base.state_id_ac
kabupaten_id_3,Aceh Besar,base.state_id_ac
kabupaten_id_4,Aceh Jaya,base.state_id_ac
kabupaten_id_5,Aceh Selatan,base.state_id_ac
kabupaten_id_6,Aceh Singkil,base.state_id_ac
kabupaten_id_7,Aceh Tamiang,base.state_id_ac
kabupaten_id_8,Aceh Tengah,base.state_id_ac
kabupaten_id_9,Aceh Tenggara,base.state_id_ac
kabupaten_id_10,Aceh Timur,base.state_id_ac
kabupaten_id_11,Aceh Utara,base.state_id_ac
kabupaten_id_12,Agam,base.state_id_sb
kabupaten_id_13,Alor,base.state_id_nt
kabupaten_id_14,Ambon,base.state_id_ma
kabupaten_id_15,Asahan,base.state_id_su
kabupaten_id_16,Asmat,base.state_id_pa
kabupaten_id_17,Badung,base.state_id_ba
kabupaten_id_18,Balangan,base.state_id_ks
kabupaten_id_19,Balikpapan,base.state_id_ki
kabupaten_id_20,Banda Aceh,base.state_id_ac
kabupaten_id_21,Bandar Lampung,base.state_id_la
kabupaten_id_22,Bandung,base.state_id_jb
kabupaten_id_23,Bandung,base.state_id_jb
kabupaten_id_24,Bandung Barat,base.state_id_jb
kabupaten_id_25,Banggai,base.state_id_st
kabupaten_id_26,Banggai Kepulauan,base.state_id_st
kabupaten_id_27,Bangka,base.state_id_bb
kabupaten_id_28,Bangka Barat,base.state_id_bb
kabupaten_id_29,Bangka Selatan,base.state_id_bb
kabupaten_id_30,Bangka Tengah,base.state_id_bb
kabupaten_id_31,Bangkalan,base.state_id_ji
kabupaten_id_32,Bangli,base.state_id_ba
kabupaten_id_33,Banjar,base.state_id_ks
kabupaten_id_34,Banjar,base.state_id_jb
kabupaten_id_35,Banjarbaru,base.state_id_ks
kabupaten_id_36,Banjarmasin,base.state_id_ks
kabupaten_id_37,Banjarnegara,base.state_id_jt
kabupaten_id_38,Bantaeng,base.state_id_sn
kabupaten_id_39,Bantul,base.state_id_yo
kabupaten_id_40,Banyuasin,base.state_id_ss
kabupaten_id_41,Banyumas,base.state_id_jt
kabupaten_id_42,Banyuwangi,base.state_id_ji
kabupaten_id_43,Barito Kuala,base.state_id_ks
kabupaten_id_44,Barito Selatan,base.state_id_kt
kabupaten_id_45,Barito Timur,base.state_id_kt
kabupaten_id_46,Barito Utara,base.state_id_kt
kabupaten_id_47,Barru,base.state_id_sn
kabupaten_id_48,Batam,base.state_id_kr
kabupaten_id_49,Batang,base.state_id_jt
kabupaten_id_50,Batang Hari,base.state_id_ja
kabupaten_id_51,Batu,base.state_id_ji
kabupaten_id_52,Batu Bara,base.state_id_su
kabupaten_id_53,Bau-Bau,base.state_id_sg
kabupaten_id_54,Bekasi,base.state_id_jb
kabupaten_id_55,Bekasi,base.state_id_jb
kabupaten_id_56,Belitung,base.state_id_bb
kabupaten_id_57,Belitung Timur,base.state_id_bb
kabupaten_id_58,Belu,base.state_id_nt
kabupaten_id_59,Bener Meriah,base.state_id_ac
kabupaten_id_60,Bengkalis,base.state_id_ri
kabupaten_id_61,Bengkayang,base.state_id_kb
kabupaten_id_62,Bengkulu,base.state_id_be
kabupaten_id_63,Bengkulu Selatan,base.state_id_be
kabupaten_id_64,Bengkulu Tengah,base.state_id_be
kabupaten_id_65,Bengkulu Utara,base.state_id_be
kabupaten_id_66,Berau,base.state_id_ki
kabupaten_id_67,Biak Numfor,base.state_id_pa
kabupaten_id_68,Bima,base.state_id_nb
kabupaten_id_69,Bima,base.state_id_nb
kabupaten_id_70,Binjai,base.state_id_su
kabupaten_id_71,Bintan,base.state_id_kr
kabupaten_id_72,Bireuen,base.state_id_ac
kabupaten_id_73,Bitung,base.state_id_sa
kabupaten_id_74,Blitar,base.state_id_ji
kabupaten_id_75,Blitar,base.state_id_ji
kabupaten_id_76,Blora,base.state_id_jt
kabupaten_id_77,Boalemo,base.state_id_go
kabupaten_id_78,Bogor,base.state_id_jb
kabupaten_id_79,Bogor,base.state_id_jb
kabupaten_id_80,Bojonegoro,base.state_id_ji
kabupaten_id_81,Bolaang Mongondow (Bolmong),base.state_id_sa
kabupaten_id_82,Bolaang Mongondow Selatan,base.state_id_sa
kabupaten_id_83,Bolaang Mongondow Timur,base.state_id_sa
kabupaten_id_84,Bolaang Mongondow Utara,base.state_id_sa
kabupaten_id_85,Bombana,base.state_id_sg
kabupaten_id_86,Bondowoso,base.state_id_ji
kabupaten_id_87,Bone,base.state_id_sn
kabupaten_id_88,Bone Bolango,base.state_id_go
kabupaten_id_89,Bontang,base.state_id_ki
kabupaten_id_90,Boven Digoel,base.state_id_pa
kabupaten_id_91,Boyolali,base.state_id_jt
kabupaten_id_92,Brebes,base.state_id_jt
kabupaten_id_93,Bukittinggi,base.state_id_sb
kabupaten_id_94,Buleleng,base.state_id_ba
kabupaten_id_95,Bulukumba,base.state_id_sn
kabupaten_id_96,Bulungan (Bulongan),base.state_id_ku
kabupaten_id_97,Bungo,base.state_id_ja
kabupaten_id_98,Buol,base.state_id_st
kabupaten_id_99,Buru,base.state_id_ma
kabupaten_id_100,Buru Selatan,base.state_id_ma
kabupaten_id_101,Buton,base.state_id_sg
kabupaten_id_102,Buton Utara,base.state_id_sg
kabupaten_id_103,Ciamis,base.state_id_jb
kabupaten_id_104,Cianjur,base.state_id_jb
kabupaten_id_105,Cilacap,base.state_id_jt
kabupaten_id_106,Cilegon,base.state_id_bt
kabupaten_id_107,Cimahi,base.state_id_jb
kabupaten_id_108,Cirebon,base.state_id_jb
kabupaten_id_109,Cirebon,base.state_id_jb
kabupaten_id_110,Dairi,base.state_id_su
kabupaten_id_111,Deiyai (Deliyai),base.state_id_pa
kabupaten_id_112,Deli Serdang,base.state_id_su
kabupaten_id_113,Demak,base.state_id_jt
kabupaten_id_114,Denpasar,base.state_id_ba
kabupaten_id_115,Depok,base.state_id_jb
kabupaten_id_116,Dharmasraya,base.state_id_sb
kabupaten_id_117,Dogiyai,base.state_id_pa
kabupaten_id_118,Dompu,base.state_id_nb
kabupaten_id_119,Donggala,base.state_id_st
kabupaten_id_120,Dumai,base.state_id_ri
kabupaten_id_121,Empat Lawang,base.state_id_ss
kabupaten_id_122,Ende,base.state_id_nt
kabupaten_id_123,Enrekang,base.state_id_sn
kabupaten_id_124,Fakfak,base.state_id_pb
kabupaten_id_125,Flores Timur,base.state_id_nt
kabupaten_id_126,Garut,base.state_id_jb
kabupaten_id_127,Gayo Lues,base.state_id_ac
kabupaten_id_128,Gianyar,base.state_id_ba
kabupaten_id_129,Gorontalo,base.state_id_go
kabupaten_id_130,Gorontalo,base.state_id_go
kabupaten_id_131,Gorontalo Utara,base.state_id_go
kabupaten_id_132,Gowa,base.state_id_sn
kabupaten_id_133,Gresik,base.state_id_ji
kabupaten_id_134,Grobogan,base.state_id_jt
kabupaten_id_135,Gunung Kidul,base.state_id_yo
kabupaten_id_136,Gunung Mas,base.state_id_kt
kabupaten_id_137,Gunungsitoli,base.state_id_su
kabupaten_id_138,Halmahera Barat,base.state_id_mu
kabupaten_id_139,Halmahera Selatan,base.state_id_mu
kabupaten_id_140,Halmahera Tengah,base.state_id_mu
kabupaten_id_141,Halmahera Timur,base.state_id_mu
kabupaten_id_142,Halmahera Utara,base.state_id_mu
kabupaten_id_143,Hulu Sungai Selatan,base.state_id_ks
kabupaten_id_144,Hulu Sungai Tengah,base.state_id_ks
kabupaten_id_145,Hulu Sungai Utara,base.state_id_ks
kabupaten_id_146,Humbang Hasundutan,base.state_id_su
kabupaten_id_147,Indragiri Hilir,base.state_id_ri
kabupaten_id_148,Indragiri Hulu,base.state_id_ri
kabupaten_id_149,Indramayu,base.state_id_jb
kabupaten_id_150,Intan Jaya,base.state_id_pa
kabupaten_id_151,Jakarta Barat,base.state_id_jk
kabupaten_id_152,Jakarta Pusat,base.state_id_jk
kabupaten_id_153,Jakarta Selatan,base.state_id_jk
kabupaten_id_154,Jakarta Timur,base.state_id_jk
kabupaten_id_155,Jakarta Utara,base.state_id_jk
kabupaten_id_156,Jambi,base.state_id_ja
kabupaten_id_157,Jayapura,base.state_id_pa
kabupaten_id_158,Jayapura,base.state_id_pa
kabupaten_id_159,Jayawijaya,base.state_id_pa
kabupaten_id_160,Jember,base.state_id_ji
kabupaten_id_161,Jembrana,base.state_id_ba
kabupaten_id_162,Jeneponto,base.state_id_sn
